NODE_ID	SUBCLONES PRESENT IN SAMPLES	TIME POINT SAMPLE OBTAINED (YEAR)
1	4355-AMet-Frag12_FrTu, 4355-AMet-Frag6_FrTu, 4355-BMet-Frag24_FrTu, 111e6e61e1Met_FrTu, 111e6e61e1Met-2_FrTu, 4417-2BMet_FrTu, 4417-1AMet_FrTu, 4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org, 4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2019, 2019, 2019, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021
0	4355-AMet-Frag12_FrTu, 4355-AMet-Frag6_FrTu, 4355-BMet-Frag24_FrTu, 111e6e61e1Met_FrTu, 111e6e61e1Met-2_FrTu, 4417-2BMet_FrTu, 4417-1AMet_FrTu, 4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org, 4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2019, 2019, 2019, 2020, 2020, 2020, 2020, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021
6	4355-AMet-Frag12_FrTu, 4355-AMet-Frag6_FrTu, 4355-BMet-Frag24_FrTu, 111e6e61e1Met_FrTu, 111e6e61e1Met-2_FrTu, 4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2019, 2019, 2019, 2020, 2020, 2021, 2021, 2021, 2021, 2021
2	4355-AMet-Frag12_FrTu, 4355-AMet-Frag6_FrTu, 111e6e61e1Met_FrTu	2019, 2019, 2020
5	4355-AMet-Frag12_FrTu, 4355-AMet-Frag6_FrTu, 111e6e61e1Met_FrTu	2019, 2019, 2020
18	111e6e61e1Met-2_FrTu, 4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2020, 2021, 2021, 2021, 2021, 2021
4	111e6e61e1Met-2_FrTu, 4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2020, 2021, 2021, 2021, 2021, 2021
14	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
26	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
11	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
7	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
28	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
25	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
9	4435-2Met_FrTu, 4435-3Met_FrTu, 4435-1Met_FrTu	2021, 2021, 2021
17	4435-2Met_FrTu, 4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021, 2021
12	4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021
15	4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021
8	4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021
23	4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021
16	4435-1Met_FrTu, 4435Org-001_Org, 4435Org-001-P9_Org	2021, 2021, 2021
3	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
10	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
22	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
21	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
20	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
19	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-2_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021, 2021
13	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-3_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021, 2021
27	4443Met-T1-4_FrTu, 4443Met-T1-5_FrTu, 4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021, 2021, 2021
24	4443Met-T1-1_FrTu, 4443Met-T1-6_FrTu	2021, 2021
